username,TweetsMade,RetweetsRecieved,MentionsMade,MentionsRecived,ReferralsMade,ReferralSource,ReferralSourceMade
tpearce003,2,0,0,0,0,FALSE,0
IrrancaDaviesMP,1,0,0,0,0,FALSE,0
MrJohnNicolson,9,0,0,0,0,FALSE,0
drewhendrySNP,3,0,0,0,0,FALSE,0
GregHands,2,0,0,0,0,FALSE,0
vickyfoxcroft,2,0,0,0,0,FALSE,0
stephenctimms,3,0,0,0,0,FALSE,0
GwynneMP,2,0,0,0,0,FALSE,0
PeteWishart,3,0,0,0,0,FALSE,0
wesstreeting,2,0,0,0,0,FALSE,0
timfarron,1,0,0,0,0,FALSE,0
jreynoldsMP,1,0,0,0,0,FALSE,0
RebeccaHarrisMP,1,0,0,0,0,FALSE,0
MikeGapes,3,0,0,0,0,FALSE,0
OnnMel,1,0,0,0,0,FALSE,0
EilidhWhiteford,3,0,0,0,0,FALSE,0
coyleneil,3,0,0,0,0,FALSE,0
GeorgeKerevan,9,0,0,0,0,FALSE,0
Mark4WyreForest,1,0,0,0,0,FALSE,0
TomTugendhat,2,0,0,0,0,FALSE,0
HelenGrantMP,1,0,0,0,0,FALSE,0
EstherMcVeyMP,1,0,0,0,0,FALSE,0
halfon4harlowMP,1,0,0,0,0,FALSE,0
HannahB4LiviMP,2,0,0,0,0,FALSE,0
alisonthewliss,6,0,0,0,0,FALSE,0
CatherineWest1,1,0,0,0,0,FALSE,0
marion53f,2,0,0,0,0,FALSE,0
InverclydeMP,10,1,0,0,0,FALSE,0
DeidreBrock,3,0,0,0,0,FALSE,0
FlickD,1,0,0,0,0,FALSE,0
SeemaMalhotra1,2,0,0,0,0,FALSE,0
FrankRoyMP,6,0,0,0,0,FALSE,0
RobertBuckland,1,0,0,0,0,FALSE,0
Y_FovargueMP,1,0,0,0,0,FALSE,0
RobWilson_RDG,2,0,0,0,0,FALSE,0
SadiqKhan,2,0,0,0,0,FALSE,0
karlmccartney,2,0,0,0,0,FALSE,0
Steven4Stirling,38,0,0,0,0,FALSE,0
MarcusFysh,1,0,0,0,0,FALSE,0
JoStevensLabour,2,0,0,0,0,FALSE,0
ChiOnwurah,1,0,0,0,0,FALSE,0
StewartMcDonald,3,1,0,0,0,FALSE,0
iswales,8,0,0,0,0,FALSE,0
JasonMcCartney,2,0,0,0,0,FALSE,0
georgegalloway,18,0,0,0,0,FALSE,0
GWilliamsonMP,1,0,0,0,0,FALSE,0
NicDakinMP,1,0,0,0,0,FALSE,0
stephen_gilbert,13,0,0,0,0,FALSE,0
stephen_mosley,3,0,0,0,0,FALSE,0
SamGyimah,2,0,0,0,0,FALSE,0
AnneMcLaughlin,2,0,0,0,0,FALSE,0
BarryGardiner,1,0,0,0,0,FALSE,0
BrandonLewis,3,0,0,0,0,FALSE,0
LiamFoxMP,1,0,0,0,0,FALSE,0
dannyalexander,1,0,0,0,0,FALSE,0
lisacameronsnp,11,0,0,0,0,FALSE,0
PaulFlynnMP,1,0,0,0,0,FALSE,0
TommySheppard,3,0,0,0,0,FALSE,0
karen__bradley,5,0,0,0,0,FALSE,0
michelledonelan,1,0,0,0,0,FALSE,0
neil_parish,1,0,0,0,0,FALSE,0
LiamByrneMP,1,0,0,0,0,FALSE,0
andrewpercy,9,0,0,0,0,FALSE,0
SimonKirbyMP,2,0,0,0,0,FALSE,0
KarlTurnerMP,2,0,0,0,0,FALSE,0
ArklessRichard,3,0,0,0,0,FALSE,0
marklazarowicz,12,0,0,0,0,FALSE,0
willquince,1,0,0,0,0,FALSE,0
IanMurrayMP,2,0,0,0,0,FALSE,0
johnmcdonnellMP,1,0,0,0,0,FALSE,0
DJWarburton,4,0,0,0,0,FALSE,0
sheryllmurray,1,0,0,0,0,FALSE,0
jreedmp,3,0,0,0,0,FALSE,0
edvaizey,1,0,0,0,0,FALSE,0
stellacreasy,1,0,0,0,0,FALSE,0
AnnMcKechinMP,1,0,0,0,0,FALSE,0
AlasdairMcD_MP,1,0,0,0,0,FALSE,0
JonAshworth,1,0,0,0,0,FALSE,0
_PaulMonaghan,12,0,0,0,0,FALSE,0
Jo_Cox1,3,0,0,0,0,FALSE,0
labourlewis,5,0,0,0,0,FALSE,0
danielbyles,3,0,0,0,0,FALSE,0
PaulBurstow,3,0,0,0,0,FALSE,0
hammersmithandy,3,0,0,0,0,FALSE,0
GradySNP,10,1,0,0,0,FALSE,0
HackneyAbbott,1,0,0,0,0,FALSE,0
michaelmeacher,5,0,0,0,0,FALSE,0
LouiseEllman,1,0,0,0,0,FALSE,0
AlokSharma_RDG,1,0,0,0,0,FALSE,0
AngusMacNeilSNP,11,0,0,0,0,FALSE,0
Peter_Dowd,1,0,0,0,0,FALSE,0
DamianCollins,5,0,0,0,0,FALSE,0
theresecoffey,1,0,0,0,0,FALSE,0
lynbrownmp,1,0,0,0,0,FALSE,0
joannaccherry,10,0,0,0,0,FALSE,0
MichelleThomson,5,0,0,0,0,FALSE,0
GordonBanksMP,5,0,0,0,0,FALSE,0
grahamemorris,1,0,0,0,0,FALSE,0
ronniecowan,1,0,0,0,0,FALSE,0
ChukaUmunna,5,0,0,0,0,FALSE,0
cj_dinenage,2,0,0,0,0,FALSE,0
ConorMcGinn,1,0,0,0,0,FALSE,0
JonathanPlaid,10,0,0,0,0,FALSE,0
ChrisPincher,2,0,0,0,0,FALSE,0
RobertJenrick,1,0,0,0,0,FALSE,0
GeraintDaviesMP,1,0,0,0,0,FALSE,0
IanMearnsMP,2,0,0,0,0,FALSE,0
JWoodcockMP,1,0,0,0,0,FALSE,0
GeraldJonesLAB,1,0,0,0,0,FALSE,0
andreajenkyns,4,0,0,0,0,FALSE,0
DavidJonesMP,7,1,0,0,0,FALSE,0
Mike4Eastleigh,1,0,0,0,0,FALSE,0
mtpennycook,2,0,0,0,0,FALSE,0
MartinJDocherty,1,0,0,0,0,FALSE,0
PeterNorthDevon,1,0,0,0,0,FALSE,0
BrendanOHaraSNP,1,0,0,0,0,FALSE,0
murrisonMP,1,0,0,0,0,FALSE,0
sajidjavid,2,0,0,0,0,FALSE,0
annaturley,2,0,0,0,0,FALSE,0
uxbridgewalrus,1,0,0,0,0,FALSE,0
TasminaSheikh,4,0,0,0,0,FALSE,0
Caroline_Ansell,1,0,0,0,0,FALSE,0
HywelPlaidCymru,2,0,0,0,0,FALSE,0
DougChapmanSNP,3,0,0,0,0,FALSE,0
RichardBurdenMP,1,0,0,0,0,FALSE,0
ChrisWhite_MP,2,0,0,0,0,FALSE,0
GemmaWDMP,1,0,0,0,0,FALSE,0
julianhuppert,4,0,0,0,0,FALSE,0
nataliemcgarry,143,7,0,0,0,FALSE,0
MichaelMcCannMP,25,0,0,0,0,FALSE,0
Thomas_Docherty,5,0,0,0,0,FALSE,0
EricPickles,1,0,0,0,0,FALSE,0
angelasmithmp,1,0,0,0,0,FALSE,0
kirstenoswald,1,0,0,0,0,FALSE,0
damiangreenmp,1,0,0,0,0,FALSE,0
GuyOpperman,1,0,0,0,0,FALSE,0
ChrisLawSNP,3,0,0,0,0,FALSE,0
lucyallan,1,0,0,0,0,FALSE,0
PhilBoswellSNP,4,0,0,0,0,FALSE,0
Amy__Macdonald,0,0,0,0,0,FALSE,0
InverclydeCLP,0,0,0,0,0,FALSE,0
Shettleston_SNP,0,5,0,0,0,FALSE,0
theSNP,0,6,0,0,0,FALSE,0
EDI_Airport,0,0,0,0,0,FALSE,0
AmnestyUK,0,0,0,0,0,FALSE,0
Palayo,0,0,0,0,0,FALSE,0
WomenForIndy,0,0,0,0,0,FALSE,0
NicolaSturgeon,0,4,0,0,0,FALSE,0
DuineEileAmhain,0,0,0,0,0,FALSE,0
GlasgowSNP,0,0,0,0,0,FALSE,0
cllrgsimpson,0,0,0,0,0,FALSE,0
xanabe,0,0,0,0,0,FALSE,0
HannahDavid_HW,0,0,0,0,0,FALSE,0
Conservative,0,0,0,0,0,FALSE,0
HumzaYousaf,0,0,0,0,0,FALSE,0
JohnMasonMSP,0,0,0,0,0,FALSE,0
carolynleckie,0,1,0,0,0,FALSE,0
libby_brooks,0,1,0,0,0,FALSE,0
Telegraph,0,0,0,0,0,FALSE,0
t4rtanpaint,0,0,0,0,0,FALSE,0
EastLothianSNP,0,0,0,0,0,FALSE,0
elcourier,0,0,0,0,0,FALSE,0
ECFMScotland,0,0,0,0,0,FALSE,0
Conservatives-led,0,0,0,0,0,FALSE,0
SNP,0,0,0,0,0,FALSE,0
cglendinning95,0,0,0,0,0,FALSE,0
Martainn_84,0,0,0,0,0,FALSE,0
bruernish,0,0,0,0,0,FALSE,0
CPA_UK,0,1,0,0,0,FALSE,0
LSEge2015,0,2,0,0,0,FALSE,0
Aidan_Kerr1,0,1,0,0,0,FALSE,0
kearneycath,0,1,0,0,0,FALSE,0
RickyTaylorSNP,0,2,0,0,0,FALSE,0
cllrStu,0,8,0,0,0,FALSE,0
ScotBraveHearts,0,1,0,0,0,FALSE,0
EechieOchie,0,1,0,0,0,FALSE,0
PeterMurrell,0,2,0,0,0,FALSE,0
ConorH96,0,1,0,0,0,FALSE,0
GGTTH_Andy,0,1,0,0,0,FALSE,0
REWearmouth,0,1,0,0,0,FALSE,0
BradenDavy,0,1,0,0,0,FALSE,0
LegKnowlScot,0,3,0,0,0,FALSE,0
ToniGiugliano,0,3,0,0,0,FALSE,0
stephendalfonso,0,1,0,0,0,FALSE,0
Sam__F____,0,3,0,0,0,FALSE,0
SNPDunblane,0,36,0,0,0,FALSE,0
TaylorJamesScot,0,1,0,0,0,FALSE,0
jojobeale,0,5,0,0,0,FALSE,0
AlanClinch,0,2,0,0,0,FALSE,0
Craigmiller1986,0,5,0,0,0,FALSE,0
carrieapples,0,28,0,0,0,FALSE,0
StAustellBayCoC,0,1,0,0,0,FALSE,0
TwittyODriscoll,0,1,0,0,0,FALSE,0
YasKQ,0,2,0,0,0,FALSE,0
Michaeldoris,0,7,0,0,0,FALSE,0
YesEastRen,0,1,0,0,0,FALSE,0
janewevans,0,1,0,0,0,FALSE,0
SerenaCowdy,0,1,0,0,0,FALSE,0
AileenMcLeodMSP,0,1,0,0,0,FALSE,0
Handibode,0,1,0,0,0,FALSE,0
MCW_1988,0,1,0,0,0,FALSE,0
GerryHassan,0,1,0,0,0,FALSE,0
MuhammedRaza786,0,8,0,0,0,FALSE,0
CAMRA_Official,0,1,0,0,0,FALSE,0
SimonPhillipsUK,0,1,0,0,0,FALSE,0
RachelReevesMP,0,1,0,0,0,FALSE,0
meggitt20,0,1,0,0,0,FALSE,0
Edinburgh_CC,0,1,0,0,0,FALSE,0
Cath_MacKinnon,0,1,0,0,0,FALSE,0
StanJames45,0,1,0,0,0,FALSE,0
MamaGlasgow,0,1,0,0,0,FALSE,0
penguinos99,0,2,0,0,0,FALSE,0
blairmcdougall,0,1,0,0,0,FALSE,0
Tamstered,0,1,0,0,0,FALSE,0
ianmcallansnp,0,1,0,0,0,FALSE,0
ProvanSNP,0,1,0,0,0,FALSE,0
heraldscotland,0,1,0,0,0,FALSE,0
scottishlabour,0,13,0,0,0,FALSE,0
leftfutures,0,3,0,0,0,FALSE,0
LibDems,0,7,0,0,0,FALSE,0
Cllr_McEleny,0,1,0,0,0,FALSE,0
unitetheunion,0,1,0,0,0,FALSE,0
OT_rach,0,2,0,0,0,FALSE,0
JFinchSaunders,0,1,0,0,0,FALSE,0
greengranma,0,2,0,0,0,FALSE,0
DianeforLondon,0,1,0,0,0,FALSE,0
MhairiHunter,0,1,0,0,0,FALSE,0
saffron_dickson,0,1,0,0,0,FALSE,0
Mawneyslabour,0,1,0,0,0,FALSE,0
tscholesfogg,0,1,0,0,0,FALSE,0
kilian_bourke,0,1,0,0,0,FALSE,0
katielfrank,0,2,0,0,0,FALSE,0
slightlyscrewed,0,1,0,0,0,FALSE,0
terencecallacha,0,1,0,0,0,FALSE,0
jomccarron,0,1,0,0,0,FALSE,0
jil_murphy,0,2,0,0,0,FALSE,0
AshleyB0203,0,1,0,0,0,FALSE,0
PartickFeargal,0,2,0,0,0,FALSE,0
morganhornx,0,2,0,0,0,FALSE,0
MHoCLibDems,0,1,0,0,0,FALSE,0
csjthinktank,0,1,0,0,0,FALSE,0
respect_youth,0,1,0,0,0,FALSE,0
LePolitics,0,1,0,0,0,FALSE,0
gusna11,0,2,0,0,0,FALSE,0
sipeki,0,1,0,0,0,FALSE,0
DiCreggie,0,1,0,0,0,FALSE,0
OurVoiceOurHOPE,0,1,0,0,0,FALSE,0
teamdonelan,0,1,0,0,0,FALSE,0
tom_rye,0,1,0,0,0,FALSE,0
thynno9,0,1,0,0,0,FALSE,0
angus_young61,0,1,0,0,0,FALSE,0
stephenpglenn,0,1,0,0,0,FALSE,0
OCWCampaign,0,1,0,0,0,FALSE,0
Robbo_Iain,0,1,0,0,0,FALSE,0
LordRoyKennedy,0,2,0,0,0,FALSE,0
labourassembly,0,1,0,0,0,FALSE,0
electoralreform,0,1,0,0,0,FALSE,0
Debbie_abrahams,0,1,0,0,0,FALSE,0
wokinghamlibdem,0,1,0,0,0,FALSE,0
MartinNeill1,0,1,0,0,0,FALSE,0
GeorgeDMoseley,0,1,0,0,0,FALSE,0
AndrewParrish7,0,1,0,0,0,FALSE,0
BBCDouglasF,0,2,0,0,0,FALSE,0
nick_clegg,0,1,0,0,0,FALSE,0
KingOfTwickers,0,2,0,0,0,FALSE,0
GunnPolitics,0,6,0,0,0,FALSE,0
OpinionYP,0,1,0,0,0,FALSE,0
GreenBeltRev,0,1,0,0,0,FALSE,0
Jon_Torbitt,0,1,0,0,0,FALSE,0
LabourUnited,0,1,0,0,0,FALSE,0
mathewmichaux,0,1,0,0,0,FALSE,0
severincarrell,0,1,0,0,0,FALSE,0
DyfedWyn,0,1,0,0,0,FALSE,0
IankKearns,0,1,0,0,0,FALSE,0
lisatheitgirl,0,2,0,0,0,FALSE,0
ZahiraHassan,0,2,0,0,0,FALSE,0
phil_sidney,0,1,0,0,0,FALSE,0
jacqyerbody,0,1,0,0,0,FALSE,0
rosscolquhoun,0,1,0,0,0,FALSE,0
ChesterLibDems,0,1,0,0,0,FALSE,0
IanBlackfordSNP,0,1,0,0,0,FALSE,0
EdinSWSNP,0,6,0,0,0,FALSE,0
mrpaulaitken,0,5,0,0,0,FALSE,0
FoysolChoudhury,0,1,0,0,0,FALSE,0
lukeblackheath,0,2,0,0,0,FALSE,0
Jack_Mc_Cann,0,1,0,0,0,FALSE,0
endless_psych,0,1,0,0,0,FALSE,0
HeleddSian,0,1,0,0,0,FALSE,0
indycyclist,0,2,0,0,0,FALSE,0
RossDeans,0,1,0,0,0,FALSE,0
VoteDavidJones,0,3,0,0,0,FALSE,0
InspGadgetBlogs,0,1,0,0,0,FALSE,0
NEChamber,0,1,0,0,0,FALSE,0
Gingerbread,0,1,0,0,0,FALSE,0
NJav,0,2,0,0,0,FALSE,0
Eunis_Jassemi,0,2,0,0,0,FALSE,0
CllrSteveEllis,0,1,0,0,0,FALSE,0
jonniilink,0,1,0,0,0,FALSE,0
DannyHackett,0,2,0,0,0,FALSE,0
ColinMcKinlay,0,1,0,0,0,FALSE,0
JordanHennessy4,0,1,0,0,0,FALSE,0
BBCPolitics,0,1,0,0,0,FALSE,0
EvaEdinburgh,0,1,0,0,0,FALSE,0
bbcmtd,0,1,0,0,0,FALSE,0
Rachel_Blair_,0,1,0,0,0,FALSE,0
JustinKaneC,0,1,0,0,0,FALSE,0
GuzenTuna,0,1,0,0,0,FALSE,0
Oris_Ikomi,0,1,0,0,0,FALSE,0
ElectoralCommUK,0,1,0,0,0,FALSE,0
iainmacwhirter,0,1,0,0,0,FALSE,0
default_egg,0,1,0,0,0,FALSE,0
stpeterschurch3,0,1,0,0,0,FALSE,0
CharlotteChung_,0,2,0,0,0,FALSE,0
missjuliewooly,0,3,0,0,0,FALSE,0
ChrisMcElenySNP,0,1,0,0,0,FALSE,0
Glasgow_Now,0,1,0,0,0,FALSE,0
PrincessHaj,0,1,0,0,0,FALSE,0
VickiYoung01,0,1,0,0,0,FALSE,0
Stephen83442562,0,1,0,0,0,FALSE,0
GABaines,0,1,0,0,0,FALSE,0
Sneekyboy,0,1,0,0,0,FALSE,0
Morag_Allard,0,1,0,0,0,FALSE,0
GrantCu7,0,1,0,0,0,FALSE,0
LukeSorbaLabour,0,1,0,0,0,FALSE,0
Daily_Record,0,1,0,0,0,FALSE,0
simonfield77,0,1,0,0,0,FALSE,0
AlunR_Thomas,0,1,0,0,0,FALSE,0
bbcquestiontime,0,1,0,0,0,FALSE,0
WelshLabPress,0,1,0,0,0,FALSE,0
ninacyoung,0,1,0,0,0,FALSE,0
PoliticsPostsUK,0,1,0,0,0,FALSE,0
FIFCLtd,0,4,0,0,0,FALSE,0
jon_swindon,0,1,0,0,0,FALSE,0
_davidam19,0,1,0,0,0,FALSE,0
GarethJAnderson,0,1,0,0,0,FALSE,0
charlster1,0,1,0,0,0,FALSE,0
James_Halfpenny,0,1,0,0,0,FALSE,0
HameTaeTheClyde,0,1,0,0,0,FALSE,0
DavidMcHarg,0,1,0,0,0,FALSE,0
IndependentScot,0,1,0,0,0,FALSE,0
TomDeakin95,0,1,0,0,0,FALSE,0
Katyroar,0,1,0,0,0,FALSE,0
flo_jo_mo,0,1,0,0,0,FALSE,0
ashraf1786,0,1,0,0,0,FALSE,0
CurryCymraeg,0,3,0,0,0,FALSE,0
jamieszymko,0,1,0,0,0,FALSE,0
scotsyounglab,0,1,0,0,0,FALSE,0
MikeHannity,0,1,0,0,0,FALSE,0
LabourBIS,0,4,0,0,0,FALSE,0
CornwallTory,0,1,0,0,0,FALSE,0
aijazmoin,0,1,0,0,0,FALSE,0
DrAbdulBShaikh,0,1,0,0,0,FALSE,0
FSBEssex,0,1,0,0,0,FALSE,0
CrumbsandPetals,0,4,0,0,0,FALSE,0
stonewalluk,0,3,0,0,0,FALSE,0
LabourHame,0,1,0,0,0,FALSE,0
killiegradge,0,1,0,0,0,FALSE,0
GeorgeBell93,0,1,0,0,0,FALSE,0
MartynMcL,0,1,0,0,0,FALSE,0
scouser73,0,1,0,0,0,FALSE,0
Adoreboard,0,1,0,0,0,FALSE,0
jackycrawford,0,1,0,0,0,FALSE,0
Haitch7,0,1,0,0,0,FALSE,0
JohnPentlandMSP,0,1,0,0,0,FALSE,0
DominicMc999,0,1,0,0,0,FALSE,0
cara_hilton,0,1,0,0,0,FALSE,0
_tta__,0,1,0,0,0,FALSE,0
ldoherty91,0,1,0,0,0,FALSE,0
misslucydav,0,1,0,0,0,FALSE,0
muzyahmed_MSYP,0,1,0,0,0,FALSE,0
188693,0,1,0,0,0,FALSE,0
eddbaIlsmp,0,1,0,0,0,FALSE,0
jammm23,0,1,0,0,0,FALSE,0
RogueCoder250,0,1,0,0,0,FALSE,0
JoshuaJPE,0,1,0,0,0,FALSE,0
dhothersall,0,1,0,0,0,FALSE,0
Casumptious,0,1,0,0,0,FALSE,0
SNPEwoodYouth,0,1,0,0,0,FALSE,0
DekBannan,0,1,0,0,0,FALSE,0
SarwarEAlam73,0,2,0,0,0,FALSE,0
raymondtcbrown,0,1,0,0,0,FALSE,0
kevverage,0,1,0,0,0,FALSE,0
BeckyBarnesB,0,1,0,0,0,FALSE,0
TheJoshuaLovell,0,1,0,0,0,FALSE,0
lachlangunn,0,1,0,0,0,FALSE,0
MgtFerrierSNP,0,1,0,0,0,FALSE,0
krishopkins2015,0,1,0,0,0,FALSE,0
LordMcConnell,0,2,0,0,0,FALSE,0
jamscott1,0,1,0,0,0,FALSE,0
ASheridanSNP,0,1,0,0,0,FALSE,0
MonicaLennon7,0,1,0,0,0,FALSE,0
j_wardrop,0,1,0,0,0,FALSE,0
FT,0,1,0,0,0,FALSE,0
x00,0,1,0,0,0,FALSE,0
DeclanLyons,0,2,0,0,0,FALSE,0
May2015NS,0,1,0,0,0,FALSE,0
KevinJPringle,0,1,0,0,0,FALSE,0
theinsightedge,0,1,0,0,0,FALSE,0
KeithWalkerNews,0,1,0,0,0,FALSE,0
cleanandlight1,0,1,0,0,0,FALSE,0
JackMcKelvie,0,1,0,0,0,FALSE,0
wallaceme,0,1,0,0,0,FALSE,0
roisinmiller,0,1,0,0,0,FALSE,0
killie18691,0,1,0,0,0,FALSE,0
NaeBorder,0,1,0,0,0,FALSE,0
rrwholloway,0,1,0,0,0,FALSE,0
Elaineac1,0,1,0,0,0,FALSE,0
shaqfu85,0,1,0,0,0,FALSE,0
JoeCorina,0,1,0,0,0,FALSE,0
delpaterson,0,1,0,0,0,FALSE,0
ukrespectparty,0,1,0,0,0,FALSE,0
aitken_marc,0,1,0,0,0,FALSE,0
LouiseMensch,0,2,0,0,0,FALSE,0
KAlmsivi,0,1,0,0,0,FALSE,0
CCHQPress,0,1,0,0,0,FALSE,0
syedjamalkazmi,0,1,0,0,0,FALSE,0
StoptheFOBTs,0,1,0,0,0,FALSE,0
NJASteiner,0,1,0,0,0,FALSE,0
TheCommonSpace,0,1,0,0,0,FALSE,0
ShiftingGrounds,0,1,0,0,0,FALSE,0
itsmarcjones,0,1,0,0,0,FALSE,0
AnLabhrach,0,1,0,0,0,FALSE,0
DanSandersonHT,0,1,0,0,0,FALSE,0
GailLythgoe,0,1,0,0,0,FALSE,0
cerysfurlong,0,1,0,0,0,FALSE,0
Lizzzzz_E,0,1,0,0,0,FALSE,0
RupertMyers,0,2,0,0,0,FALSE,0
HMThompson_,0,1,0,0,0,FALSE,0
BenPindar,0,1,0,0,0,FALSE,0
mrs_bremner,0,1,0,0,0,FALSE,0
luke_o_reilly,0,1,0,0,0,FALSE,0
MartinLulham,0,1,0,0,0,FALSE,0
PinkCatJo,0,1,0,0,0,FALSE,0
